case,label,model,sza_deg,o3col_du,source_file,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
pal0p1,0.1% PAL,photochem,60.0,64.1089,Earth_0.1pc_48.2.txt,1.462,2.23,25.61,0.01656,12.73,0.4893,0.7959,0.9773
pal0p1,0.1% PAL,photochem,65.0,64.1089,Earth_0.1pc_48.2.txt,1.075,1.672,20.31,0.01042,8.782,0.3329,0.576,0.7202
pal0p1,0.1% PAL,photochem,70.0,64.1089,Earth_0.1pc_48.2.txt,0.741,1.179,15.21,0.006171,5.676,0.2114,0.3944,0.5027
pal0p1,0.1% PAL,photochem,75.0,64.1089,Earth_0.1pc_48.2.txt,0.4683,0.765,10.52,0.003471,3.402,0.124,0.252,0.3269
pal0p1,0.1% PAL,photochem,80.0,64.1089,Earth_0.1pc_48.2.txt,0.2614,0.4381,6.43,0.001891,1.865,0.06644,0.1461,0.1918
pal0p1,0.1% PAL,photochem,85.0,64.1089,Earth_0.1pc_48.2.txt,0.1189,0.2009,3.103,0.0009839,0.8957,0.03184,0.0706,0.09271
pal0p1,0.1% PAL,vulcan,0.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,6.752,8.976,65.43,0.3071,101.8,4.444,5.393,5.846
pal0p1,0.1% PAL,vulcan,5.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,6.707,8.919,65.1,0.304,101.0,4.407,5.35,5.801
pal0p1,0.1% PAL,vulcan,10.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,6.572,8.748,64.14,0.2948,98.57,4.295,5.221,5.666
pal0p1,0.1% PAL,vulcan,15.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,6.353,8.471,62.54,0.2801,94.7,4.116,5.015,5.449
pal0p1,0.1% PAL,vulcan,20.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,6.054,8.089,60.32,0.2605,89.4,3.874,4.735,5.154
pal0p1,0.1% PAL,vulcan,25.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,5.68,7.612,57.52,0.2365,82.83,3.575,4.389,4.789
pal0p1,0.1% PAL,vulcan,30.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,5.24,7.051,54.17,0.2093,75.22,3.23,3.988,4.365
pal0p1,0.1% PAL,vulcan,35.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,4.748,6.418,50.31,0.1802,66.82,2.852,3.547,3.898
pal0p1,0.1% PAL,vulcan,40.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,4.213,5.728,46.0,0.1503,57.9,2.454,3.08,3.401
